Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","195","Senegal","96","China, Hong Kong SAR","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2008","2008","tonnes","22407","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2001","2001","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2002","2002","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2003","2003","tonnes","5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2004","2004","tonnes","1717","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2005","2005","tonnes","6","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2006","2006","tonnes","5902","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2007","2007","tonnes","143","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2008","2008","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2009","2009","tonnes","1486","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2010","2010","tonnes","16","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2011","2011","tonnes","208","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2012","2012","tonnes","513","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2013","2013","tonnes","57","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2014","2014","tonnes","5431","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2015","2015","tonnes","520","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2016","2016","tonnes","1894","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2017","2017","tonnes","16934","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","195","Senegal","41","China, mainland","5610","Import Quantity","30","Rice, paddy (rice milled equivalent)","2018","2018","tonnes","11122","A","Aggregate, may include official, semi-official, estimated or calculated data"
