Date-Monthly,"Senegal, Retail, Dakar, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, Diourbel, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, Kaolack, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, Kolda, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, Louga, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, Matam, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, SaintLouis, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, Tambacounda, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, Thies, Rice (imported), USD/tonne Commodity Code: 100610_2 ","Senegal, Retail, Zguinchor, Rice (imported), USD/tonne Commodity Code: 100610_2 "
10-Mar,830.00,700.00,660.00,640.00,880.00,740.00,830.00,650.00,730.00,730.00
10-Feb,830.00,780.00,690.00,690.00,,720.00,830.00,660.00,730.00,730.00
10-Jan,800.00,780.00,790.00,760.00,,770.00,870.00,730.00,790.00,760.00
09-Dec,800.00,730.00,730.00,,,780.00,890.00,730.00,750.00,810.00
09-Nov,800.00,710.00,750.00,,,800.00,910.00,800.00,730.00,830.00
09-Oct,790.00,780.00,680.00,,,880.00,880.00,800.00,720.00,880.00
09-Sep,820.00,810.00,800.00,,,870.00,890.00,830.00,720.00,890.00
09-Aug,800.00,820.00,780.00,,,870.00,870.00,850.00,650.00,870.00
09-Jul,790.00,830.00,820.00,,,830.00,840.00,840.00,750.00,860.00
09-Jun,780.00,780.00,830.00,,,860.00,850.00,840.00,770.00,850.00
09-May,790.00,770.00,800.00,,770.00,820.00,830.00,830.00,750.00,860.00
09-Apr,800.00,750.00,800.00,660.00,850.00,860.00,820.00,800.00,780.00,880.00
09-Mar,800.00,670.00,740.00,660.00,720.00,820.00,840.00,830.00,640.00,830.00
09-Feb,830.00,700.00,670.00,650.00,740.00,790.00,840.00,800.00,650.00,840.00
09-Jan,910.00,710.00,810.00,680.00,810.00,810.00,770.00,910.00,700.00,870.00
08-Dec,940.00,880.00,880.00,,860.00,900.00,830.00,880.00,800.00,900.00
08-Nov,890.00,830.00,750.00,,810.00,840.00,870.00,800.00,750.00,840.00
08-Oct,930.00,870.00,840.00,760.00,840.00,870.00,900.00,880.00,830.00,900.00
08-Sep,1030.00,960.00,930.00,830.00,910.00,940.00,990.00,900.00,880.00,960.00
08-Aug,990.00,880.00,820.00,740.00,780.00,810.00,780.00,780.00,800.00,900.00
08-Jul,1120.00,790.00,880.00,810.00,750.00,830.00,750.00,790.00,840.00,890.00
08-Jun,720.00,690.00,750.00,870.00,740.00,760.00,700.00,820.00,680.00,770.00
08-May,710.00,680.00,680.00,740.00,720.00,740.00,680.00,740.00,650.00,690.00
08-Apr,720.00,690.00,720.00,720.00,720.00,740.00,740.00,840.00,680.00,710.00
08-Mar,670.00,660.00,680.00,770.00,680.00,720.00,670.00,740.00,540.00,710.00
08-Feb,650.00,600.00,620.00,660.00,610.00,670.00,570.00,640.00,540.00,620.00
08-Jan,600.00,480.00,610.00,620.00,590.00,610.00,580.00,620.00,520.00,620.00
07-Dec,560.00,470.00,590.00,540.00,610.00,590.00,550.00,560.00,510.00,560.00
07-Nov,560.00,470.00,590.00,540.00,540.00,540.00,530.00,570.00,510.00,560.00
07-Oct,540.00,460.00,560.00,500.00,500.00,510.00,480.00,540.00,490.00,550.00
07-Sep,490.00,450.00,520.00,500.00,480.00,500.00,470.00,510.00,470.00,520.00
07-Aug,460.00,420.00,500.00,480.00,460.00,470.00,470.00,490.00,460.00,510.00
07-Jul,480.00,420.00,510.00,520.00,480.00,520.00,570.00,510.00,460.00,530.00
07-Jun,510.00,410.00,540.00,500.00,470.00,500.00,510.00,510.00,460.00,540.00
07-May,510.00,410.00,550.00,540.00,510.00,520.00,520.00,510.00,460.00,540.00
07-Apr,520.00,410.00,520.00,520.00,470.00,520.00,510.00,490.00,460.00,530.00
07-Mar,500.00,400.00,470.00,500.00,460.00,480.00,450.00,500.00,450.00,510.00
07-Feb,460.00,400.00,460.00,470.00,440.00,450.00,440.00,450.00,440.00,480.00
07-Jan,450.00,400.00,460.00,440.00,430.00,450.00,420.00,450.00,420.00,480.00
