Country,Admin 1,Market,Commodity,Price Type,Year,Month,Price,Unit,Currency,Data Source
Viet Nam,An Giang,An Giang,Rice,Wholesale,2017,02,6975,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2017,03,7100,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2017,04,6987.5,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2017,05,6770,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2017,06,7075,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2017,07,7660,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2017,08,7900,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2017,09,7750,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2017,10,7800,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2017,11,8083.3301,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2017,12,8025,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2018,01,8140,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2018,02,8900,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2018,03,8650,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2018,04,8633.3301,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2018,05,8900,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2018,06,8900,KG,VND,Agroinfo via FAO: GIEWS/FPMA
Viet Nam,An Giang,An Giang,Rice,Wholesale,2018,07,8825,KG,VND,Agroinfo via FAO: GIEWS/FPMA
