,REGION,DEPARTEMENT,MARCHE,DATE,MIL_DETAIL,RIZ_IMP_BR ORD.
208,DL,MBACKE,TOUBA,23-Jun-00,115,200.0
209,FK,FATICK,FATICK,25-Jun-00,115,210.0
210,DK,PIKINE,THIAROYE,28-Jun-00,120,225.0
211,TH,THIES,THIES,28-Jun-00,120,220.0
212,SL,ST.LOUIS,ST.LOUIS,28-Jun-00,125,240.0
213,DL,DIOURBEL,DIOURBEL,29-Jun-00,110,210.0
214,KL,KAOLACK,KAOLACK,29-Jun-00,105,200.0
215,KD,KOLDA,KOLDA,29-Jun-00,125,215.0
216,LG,LOUGA,LOUGA,29-Jun-00,120,210.0
217,DK,DAKAR,TILENE,29-Jun-00,120,225.0
218,ZG,ZIGUINCHOR,ST.MAUR,29-Jun-00,125,210.0
219,DL,MBACKE,TOUBA,05-Jul-00,115,195.0
220,KD,VELINGARA,DIAOBE,05-Jul-00,125,215.0
221,DL,DIOURBEL,DIOURBEL,06-Jul-00,115,200.0
222,FK,FATICK,FATICK,06-Jul-00,115,210.0
223,KL,KAOLACK,KAOLACK,06-Jul-00,105,200.0
224,KD,KOLDA,KOLDA,06-Jul-00,125,215.0
225,LG,LOUGA,LOUGA,06-Jul-00,125,210.0
226,DK,PIKINE,THIAROYE,06-Jul-00,120,225.0
227,TH,THIES,THIES,06-Jul-00,120,208.0
228,DK,DAKAR,TILENE,06-Jul-00,120,225.0
229,SL,ST.LOUIS,ST.LOUIS,06-Jul-00,125,220.0
230,ZG,ZIGUINCHOR,ST.MAUR,06-Jul-00,125,210.0
231,DL,MBACKE,TOUBA,08-Jul-00,115,195.0
232,FK,FATICK,FATICK,09-Jul-00,115,210.0
233,DK,PIKINE,THIAROYE,12-Jul-00,125,225.0
234,DK,DAKAR,TILENE,12-Jul-00,125,225.0
235,KD,VELINGARA,DIAOBE,12-Jul-00,125,215.0
236,DL,DIOURBEL,DIOURBEL,13-Jul-00,115,200.0
237,KL,KAOLACK,KAOLACK,13-Jul-00,110,200.0
238,KD,KOLDA,KOLDA,13-Jul-00,125,215.0
239,LG,LOUGA,LOUGA,13-Jul-00,125,210.0
240,TH,THIES,THIES,13-Jul-00,120,220.0
241,SL,ST.LOUIS,ST.LOUIS,13-Jul-00,125,220.0
242,ZG,ZIGUINCHOR,ST.MAUR,13-Jul-00,125,210.0
243,FK,FATICK,FATICK,16-Jul-00,120,200.0
244,DK,PIKINE,THIAROYE,19-Jul-00,125,225.0
245,DK,DAKAR,TILENE,19-Jul-00,125,225.0
246,DL,MBACKE,TOUBA,19-Jul-00,120,210.0
247,DL,DIOURBEL,DIOURBEL,20-Jul-00,120,200.0
248,KL,KAOLACK,KAOLACK,20-Jul-00,110,200.0
249,LG,LOUGA,LOUGA,20-Jul-00,125,210.0
250,TH,THIES,THIES,20-Jul-00,120,220.0
251,SL,ST.LOUIS,ST.LOUIS,20-Jul-00,125,240.0
252,ZG,ZIGUINCHOR,ST.MAUR,20-Jul-00,125,210.0
253,FK,FATICK,FATICK,23-Jul-00,130,210.0
254,DL,MBACKE,TOUBA,23-Jul-00,120,200.0
255,KD,KOLDA,KOLDA,25-Jul-00,125,215.0
256,DK,PIKINE,THIAROYE,26-Jul-00,125,225.0
257,DK,DAKAR,TILENE,26-Jul-00,125,225.0
258,SL,ST.LOUIS,ST.LOUIS,26-Jul-00,140,240.0
259,DL,DIOURBEL,DIOURBEL,27-Jul-00,125,210.0
260,KL,KAOLACK,KAOLACK,27-Jul-00,110,200.0
261,LG,LOUGA,LOUGA,27-Jul-00,120,210.0
262,TH,THIES,THIES,27-Jul-00,130,200.0
263,ZG,ZIGUINCHOR,ST.MAUR,27-Jul-00,125,210.0
264,FK,FATICK,FATICK,06-Aug-00,130,210.0
265,DK,PIKINE,THIAROYE,09-Aug-00,140,225.0
266,TH,THIES,THIES,09-Aug-00,128,210.0
267,DK,DAKAR,TILENE,09-Aug-00,140,225.0
268,DL,MBACKE,TOUBA,09-Aug-00,130,195.0
269,SL,ST.LOUIS,ST.LOUIS,09-Aug-00,150,220.0
270,KD,VELINGARA,DIAOBE,09-Aug-00,130,215.0
271,DL,DIOURBEL,DIOURBEL,10-Aug-00,135,190.0
272,KL,KAOLACK,KAOLACK,10-Aug-00,110,200.0
273,KL,KAOLACK,KAOLACK,10-Aug-00,110,200.0
274,KD,KOLDA,KOLDA,10-Aug-00,125,215.0
275,LG,LOUGA,LOUGA,10-Aug-00,130,210.0
276,ZG,ZIGUINCHOR,ST.MAUR,10-Aug-00,135,210.0
277,FK,FATICK,FATICK,13-Aug-00,125,210.0
278,DK,PIKINE,THIAROYE,16-Aug-00,140,225.0
279,DK,DAKAR,TILENE,16-Aug-00,140,225.0
280,DL,MBACKE,TOUBA,16-Aug-00,130,200.0
281,DL,DIOURBEL,DIOURBEL,17-Aug-00,130,190.0
282,KL,KAOLACK,KAOLACK,17-Aug-00,125,200.0
283,KD,KOLDA,KOLDA,17-Aug-00,130,215.0
284,LG,LOUGA,LOUGA,17-Aug-00,130,210.0
285,TH,THIES,THIES,17-Aug-00,130,200.0
286,SL,ST.LOUIS,ST.LOUIS,17-Aug-00,150,240.0
287,ZG,ZIGUINCHOR,ST.MAUR,17-Aug-00,135,210.0
288,DL,MBACKE,TOUBA,18-Aug-00,130,200.0
289,FK,FATICK,FATICK,20-Aug-00,125,210.0
290,DL,DIOURBEL,DIOURBEL,24-Aug-00,125,190.0
291,KL,KAOLACK,KAOLACK,24-Aug-00,105,200.0
292,KL,KAOLACK,KAOLACK,24-Aug-00,105,200.0
293,KD,KOLDA,KOLDA,24-Aug-00,130,215.0
294,LG,LOUGA,LOUGA,24-Aug-00,130,210.0
295,DK,PIKINE,THIAROYE,24-Aug-00,140,225.0
296,TH,THIES,THIES,24-Aug-00,150,220.0
297,DK,DAKAR,TILENE,24-Aug-00,140,225.0
298,SL,ST.LOUIS,ST.LOUIS,24-Aug-00,150,240.0
299,ZG,ZIGUINCHOR,ST.MAUR,24-Aug-00,135,210.0
300,DL,MBACKE,TOUBA,26-Aug-00,125,210.0
301,FK,FATICK,FATICK,27-Aug-00,125,210.0
302,SL,ST.LOUIS,ST.LOUIS,29-Aug-00,150,240.0
303,DL,DIOURBEL,DIOURBEL,30-Aug-00,120,195.0
304,KD,VELINGARA,DIAOBE,30-Aug-00,125,215.0
305,KL,KAOLACK,KAOLACK,31-Aug-00,105,200.0
306,KD,KOLDA,KOLDA,31-Aug-00,125,210.0
307,LG,LOUGA,LOUGA,31-Aug-00,130,210.0
308,DK,PIKINE,THIAROYE,31-Aug-00,140,225.0
309,TH,THIES,THIES,31-Aug-00,130,200.0
310,DK,DAKAR,TILENE,31-Aug-00,140,225.0
311,ZG,ZIGUINCHOR,ST.MAUR,31-Aug-00,125,210.0
312,DL,MBACKE,TOUBA,02-Sep-00,120,200.0
313,FK,FATICK,FATICK,03-Sep-00,125,210.0
314,KD,KOLDA,KOLDA,06-Sep-00,130,215.0
315,TH,THIES,THIES,06-Sep-00,120,200.0
316,DL,DIOURBEL,DIOURBEL,07-Sep-00,120,190.0
317,KL,KAOLACK,KAOLACK,07-Sep-00,105,200.0
318,LG,LOUGA,LOUGA,07-Sep-00,115,210.0
319,DK,PIKINE,THIAROYE,07-Sep-00,140,225.0
320,DK,DAKAR,TILENE,07-Sep-00,140,225.0
321,SL,ST.LOUIS,ST.LOUIS,07-Sep-00,150,240.0
322,ZG,ZIGUINCHOR,ST.MAUR,07-Sep-00,125,210.0
323,FK,FATICK,FATICK,10-Sep-00,120,210.0
324,DL,MBACKE,TOUBA,11-Sep-00,110,195.0
325,SL,ST.LOUIS,ST.LOUIS,12-Sep-00,150,225.0
326,KD,VELINGARA,DIAOBE,13-Sep-00,130,215.0
327,DL,DIOURBEL,DIOURBEL,14-Sep-00,115,190.0
328,KL,KAOLACK,KAOLACK,14-Sep-00,100,210.0
329,KD,KOLDA,KOLDA,14-Sep-00,130,215.0
330,LG,LOUGA,LOUGA,14-Sep-00,115,200.0
331,TH,THIES,THIES,14-Sep-00,120,210.0
332,ZG,ZIGUINCHOR,ST.MAUR,14-Sep-00,125,210.0
333,DL,MBACKE,TOUBA,16-Sep-00,110,200.0
334,FK,FATICK,FATICK,17-Sep-00,125,210.0
335,KD,KOLDA,KOLDA,20-Sep-00,130,215.0
336,DK,PIKINE,THIAROYE,20-Sep-00,140,225.0
337,DK,DAKAR,TILENE,20-Sep-00,140,225.0
338,SL,ST.LOUIS,ST.LOUIS,20-Sep-00,140,175.0
339,KD,VELINGARA,DIAOBE,20-Sep-00,150,220.0
340,DL,DIOURBEL,DIOURBEL,21-Sep-00,115,190.0
341,KL,KAOLACK,KAOLACK,21-Sep-00,100,200.0
342,LG,LOUGA,LOUGA,21-Sep-00,115,200.0
343,TH,THIES,THIES,21-Sep-00,120,225.0
344,ZG,ZIGUINCHOR,ST.MAUR,21-Sep-00,125,210.0
345,DL,MBACKE,TOUBA,23-Sep-00,110,195.0
346,FK,FATICK,FATICK,24-Sep-00,125,200.0
347,SL,ST.LOUIS,ST.LOUIS,25-Sep-00,135,250.0
348,DK,PIKINE,THIAROYE,27-Sep-00,130,225.0
349,DK,DAKAR,TILENE,27-Sep-00,125,225.0
350,DL,DIOURBEL,DIOURBEL,28-Sep-00,115,190.0
351,KL,KAOLACK,KAOLACK,28-Sep-00,100,210.0
352,KD,KOLDA,KOLDA,28-Sep-00,130,215.0
353,LG,LOUGA,LOUGA,28-Sep-00,115,200.0
354,TH,THIES,THIES,28-Sep-00,120,225.0
355,ZG,ZIGUINCHOR,ST.MAUR,28-Sep-00,125,210.0
356,DL,MBACKE,TOUBA,30-Sep-00,110,200.0
357,FK,FATICK,FATICK,01-Oct-00,120,200.0
358,ZG,ZIGUINCHOR,ST.MAUR,03-Oct-00,125,210.0
359,DK,PIKINE,THIAROYE,04-Oct-00,125,225.0
360,DK,DAKAR,TILENE,04-Oct-00,125,225.0
361,DL,DIOURBEL,DIOURBEL,05-Oct-00,100,200.0
362,KL,KAOLACK,KAOLACK,05-Oct-00,100,210.0
363,KD,KOLDA,KOLDA,05-Oct-00,130,220.0
364,LG,LOUGA,LOUGA,05-Oct-00,125,210.0
365,TH,THIES,THIES,05-Oct-00,120,220.0
366,SL,ST.LOUIS,ST.LOUIS,06-Oct-00,135,213.0
367,FK,FATICK,FATICK,08-Oct-00,120,200.0
368,KD,KOLDA,KOLDA,10-Oct-00,140,210.0
369,DK,PIKINE,THIAROYE,11-Oct-00,120,225.0
370,DK,DAKAR,TILENE,11-Oct-00,120,225.0
371,DL,MBACKE,TOUBA,11-Oct-00,100,200.0
372,KD,VELINGARA,DIAOBE,11-Oct-00,125,220.0
373,DL,DIOURBEL,DIOURBEL,12-Oct-00,105,185.0
374,KL,KAOLACK,KAOLACK,12-Oct-00,100,200.0
375,LG,LOUGA,LOUGA,12-Oct-00,125,210.0
376,TH,THIES,THIES,12-Oct-00,120,225.0
377,SL,ST.LOUIS,ST.LOUIS,12-Oct-00,135,240.0
378,ZG,ZIGUINCHOR,ST.MAUR,12-Oct-00,150,210.0
379,FK,FATICK,FATICK,15-Oct-00,120,190.0
380,DK,PIKINE,THIAROYE,18-Oct-00,120,225.0
381,DK,DAKAR,TILENE,18-Oct-00,120,225.0
382,DL,MBACKE,TOUBA,18-Oct-00,100,200.0
383,DL,DIOURBEL,DIOURBEL,19-Oct-00,110,190.0
384,KL,KAOLACK,KAOLACK,19-Oct-00,115,200.0
385,KD,KOLDA,KOLDA,19-Oct-00,125,210.0
386,LG,LOUGA,LOUGA,19-Oct-00,115,200.0
387,TH,THIES,THIES,19-Oct-00,115,225.0
388,SL,ST.LOUIS,ST.LOUIS,19-Oct-00,135,240.0
389,ZG,ZIGUINCHOR,ST.MAUR,19-Oct-00,150,210.0
390,DL,MBACKE,TOUBA,21-Oct-00,100,200.0
391,FK,FATICK,FATICK,22-Oct-00,110,195.0
392,DK,PIKINE,THIAROYE,25-Oct-00,125,215.0
393,DK,DAKAR,TILENE,25-Oct-00,125,215.0
394,KD,VELINGARA,DIAOBE,25-Oct-00,125,215.0
395,DL,DIOURBEL,DIOURBEL,26-Oct-00,100,185.0
396,KL,KAOLACK,KAOLACK,26-Oct-00,110,200.0
397,KD,KOLDA,KOLDA,26-Oct-00,125,200.0
398,LG,LOUGA,LOUGA,26-Oct-00,115,200.0
399,TH,THIES,THIES,26-Oct-00,120,225.0
400,SL,ST.LOUIS,ST.LOUIS,26-Oct-00,125,240.0
401,ZG,ZIGUINCHOR,ST.MAUR,26-Oct-00,140,210.0
402,FK,FATICK,FATICK,29-Oct-00,95,195.0
403,DL,DIOURBEL,DIOURBEL,02-Nov-00,95,190.0
404,KL,KAOLACK,KAOLACK,02-Nov-00,110,200.0
405,KD,KOLDA,KOLDA,02-Nov-00,100,210.0
406,LG,LOUGA,LOUGA,02-Nov-00,125,200.0
407,DK,PIKINE,THIAROYE,02-Nov-00,125,220.0
408,TH,THIES,THIES,02-Nov-00,115,225.0
409,DK,DAKAR,TILENE,02-Nov-00,125,220.0
410,ZG,ZIGUINCHOR,ST.MAUR,02-Nov-00,140,210.0
411,SL,ST.LOUIS,ST.LOUIS,03-Nov-00,125,240.0
412,FK,FATICK,FATICK,05-Nov-00,95,195.0
413,DL,MBACKE,TOUBA,06-Nov-00,80,190.0
414,DK,PIKINE,THIAROYE,07-Nov-00,125,220.0
415,DK,DAKAR,TILENE,07-Nov-00,125,220.0
416,KD,KOLDA,KOLDA,08-Nov-00,100,210.0
417,LG,LOUGA,LOUGA,08-Nov-00,125,200.0
418,SL,ST.LOUIS,ST.LOUIS,08-Nov-00,125,200.0
419,DL,DIOURBEL,DIOURBEL,09-Nov-00,80,190.0
420,KL,KAOLACK,KAOLACK,09-Nov-00,110,200.0
421,TH,THIES,THIES,09-Nov-00,110,225.0
422,ZG,ZIGUINCHOR,ST.MAUR,09-Nov-00,140,210.0
423,DL,MBACKE,TOUBA,10-Nov-00,90,190.0
424,FK,FATICK,FATICK,12-Nov-00,95,190.0
425,DK,PIKINE,THIAROYE,15-Nov-00,125,215.0
426,DK,DAKAR,TILENE,15-Nov-00,120,215.0
427,KD,VELINGARA,DIAOBE,15-Nov-00,125,210.0
428,DL,DIOURBEL,DIOURBEL,16-Nov-00,75,170.0
429,KL,KAOLACK,KAOLACK,16-Nov-00,110,200.0
430,KD,KOLDA,KOLDA,16-Nov-00,125,210.0
431,LG,LOUGA,LOUGA,16-Nov-00,125,200.0
432,TH,THIES,THIES,16-Nov-00,110,225.0
