system:index,Date,FracFlooded,Name,.geo
0_43,1_2002_12_11,0.034839134293262734,Kolda,
0_44,1_2002_12_19,0.03556303921607593,Kolda,
0_45,1_2002_12_27,1.5757772226203604E-4,Kolda,
0_46,1_2003_01_01,7.891529285359203E-4,Kolda,
0_47,1_2003_01_09,0.0014936278164006883,Kolda,
0_48,1_2003_01_17,0.002301537133298506,Kolda,
0_49,1_2003_01_25,0.003088037376819472,Kolda,
0_50,1_2003_02_02,0.003972602705290776,Kolda,
0_51,1_2003_02_10,0.004681863119694045,Kolda,
0_52,1_2003_02_18,0.005523290626204615,Kolda,
0_53,1_2003_02_26,0.005851068334498767,Kolda,
0_54,1_2003_03_06,0.006826778109921663,Kolda,
0_55,1_2003_03_14,0.007869514605443266,Kolda,
0_56,1_2003_03_22,0.008765317917065295,Kolda,
0_57,1_2003_03_30,0.00946163539817093,Kolda,
0_58,1_2003_04_07,0.010176648094997047,Kolda,
0_59,1_2003_04_15,0.010802831852503834,Kolda,
0_60,1_2003_04_23,0.011953372137964904,Kolda,
0_61,1_2003_05_01,0.012650991834067114,Kolda,
0_62,1_2003_05_09,0.013535707225659247,Kolda,
0_63,1_2003_05_17,0.01424245540286673,Kolda,
0_64,1_2003_05_25,0.015134930632605164,Kolda,
0_65,1_2003_06_02,0.015812150862550438,Kolda,
0_66,1_2003_06_10,0.01633301341725947,Kolda,
0_67,1_2003_06_18,0.01695013640526038,Kolda,
0_68,1_2003_06_26,0.017969361485678924,Kolda,
0_69,1_2003_07_04,0.018617999110154642,Kolda,
0_70,1_2003_07_12,0.01976323683012274,Kolda,
0_71,1_2003_07_20,0.02036322642599769,Kolda,
0_72,1_2003_07_28,0.021151117209128323,Kolda,
0_73,1_2003_08_05,0.02172615303361379,Kolda,
0_74,1_2003_08_13,0.02292147421244937,Kolda,
0_75,1_2003_08_21,0.02370593875447415,Kolda,
0_76,1_2003_08_29,0.024373914204590837,Kolda,
0_77,1_2003_09_06,0.024983698328468015,Kolda,
0_78,1_2003_09_14,0.025735842460476485,Kolda,
0_79,1_2003_09_22,0.026932253162223186,Kolda,
0_80,1_2003_09_30,0.02788029429639397,Kolda,
0_81,1_2003_10_08,0.0284977666521536,Kolda,
0_82,1_2003_10_16,0.029195110728823175,Kolda,
0_83,1_2003_10_24,0.02971906935561237,Kolda,
0_84,1_2003_11_01,0.03062766817965318,Kolda,
0_85,1_2003_11_09,0.03177533070852592,Kolda,
0_86,1_2003_11_17,0.032673427728929026,Kolda,
0_87,1_2003_11_25,0.0333070762064995,Kolda,
0_88,1_2003_12_03,0.03426725347180346,Kolda,
0_89,1_2003_12_11,0.03446648168966213,Kolda,
0_90,1_2003_12_19,0.03586107921467827,Kolda,
0_91,1_2003_12_27,0.006438044712345472,Kolda,
0_92,1_2004_01_01,2.0574859361682755E-4,Kolda,
0_93,1_2004_01_09,0.0015849076495655266,Kolda,
0_94,1_2004_01_17,0.0019275512463377302,Kolda,
0_95,1_2004_01_25,0.0026895809411008257,Kolda,
0_96,1_2004_02_02,0.0035849846569278284,Kolda,
0_97,1_2004_02_10,0.0047048236242876905,Kolda,
0_98,1_2004_02_18,0.005179933664342328,Kolda,
0_99,1_2004_02_26,0.00587723242685008,Kolda,
0_100,1_2004_03_05,0.006723356010659019,Kolda,
0_101,1_2004_03_13,0.007570837081049723,Kolda,
0_102,1_2004_03_21,0.008648771084917566,Kolda,
0_103,1_2004_03_29,0.009065144592154396,Kolda,
0_104,1_2004_04_06,0.00976701065717937,Kolda,
0_105,1_2004_04_14,0.010849401899274537,Kolda,
0_106,1_2004_04_22,0.011356257926009704,Kolda,
0_107,1_2004_04_30,0.012253378004656073,Kolda,
0_108,1_2004_05_08,0.013144077870483896,Kolda,
0_109,1_2004_05_16,0.013848769711839006,Kolda,
0_110,1_2004_05_24,0.015063756504476796,Kolda,
0_111,1_2004_06_01,0.01540088088898768,Kolda,
0_112,1_2004_06_09,0.016336954563505077,Kolda,
0_113,1_2004_06_17,0.01684084469496964,Kolda,
0_114,1_2004_06_25,0.017804464811099385,Kolda,
0_115,1_2004_07_03,0.01871580269132205,Kolda,
0_116,1_2004_07_11,0.01973506182337738,Kolda,
0_117,1_2004_07_19,0.020376534508511193,Kolda,
0_118,1_2004_07_27,0.02111051519797101,Kolda,
0_119,1_2004_08_04,0.021628889295778584,Kolda,
0_120,1_2004_08_12,0.022729531107582242,Kolda,
0_121,1_2004_08_20,0.02361404579089406,Kolda,
0_122,1_2004_08_28,0.02454374149470372,Kolda,
0_123,1_2004_09_05,0.02485516471065888,Kolda,
0_124,1_2004_09_13,0.025834597851121965,Kolda,
0_125,1_2004_09_21,0.02664129060663544,Kolda,
0_126,1_2004_09_29,0.02760106080298571,Kolda,
0_127,1_2004_10_07,0.02827827441702604,Kolda,
0_128,1_2004_10_15,0.029286548025319915,Kolda,
0_129,1_2004_10_23,0.029784618569968745,Kolda,
0_130,1_2004_10_31,0.030484690423673123,Kolda,
0_131,1_2004_11_08,0.03154758486921205,Kolda,
