,SRV_ndvi,Casamance_ndvi,OrientalAndSineSaloum_ndvi,SRV_precip,Casamance_precip,OrientalAndSineSaloum_precip
2005-02-01,1768.9392114110035,3242.146190852083,2525.7786426057746,0.00795569618117724,0.0031821537389733275,0.005537187332514845
2005-03-01,1708.6245687687613,3247.2065325721323,2582.8272400973706,0.00046422470590324846,0.0007953411307645158,0.008138283020904018
2005-04-01,1636.7793534853106,3261.403854360223,2445.133196226753,0.0007324251862221318,0.0003000884876140951,0.0006079969925811816
2005-05-01,1555.0838685268884,3650.413942927878,2824.4907389044715,0.0018150343267103965,0.03612611707004317,0.03632227245054547
2005-06-01,1679.0417377872423,4206.451545483806,3777.3534078667326,0.05646770191925381,0.15024178796728294,0.12850020466505035
2005-07-01,2735.7044342288855,5642.660246884079,5475.670970923449,0.1524342055615538,0.3873831072067482,0.26359723285435105
2005-08-01,4116.7300305987355,6325.505880992093,6430.8764116626135,0.1965895732944217,0.44636667249097045,0.353059679322042
2005-09-01,3636.138008062389,7136.949066689087,6625.171836472853,0.16883144885898277,0.40446779374953185,0.343273550454777
2005-10-01,2741.728573477553,6974.632501967997,5855.7538503142205,0.012755718561984205,0.17754815330859428,0.08070699659060757
2005-11-01,2427.863338572413,6245.155962377039,4630.113786524778,0.0016700734880328236,0.0015331363316629955,0.0011070539541819882
2005-12-01,2216.5583352916974,5085.125304905496,3496.0121607750875,0.000361923669957449,0.00037340756639438395,0.0002845549143380493
2006-01-01,2102.7348428032647,4129.7461972505225,2989.0041889044487,0.0009233759318930061,0.0002919507877171861,0.00040009586398491074
2006-02-01,2006.0374225111057,3526.9414675600683,2749.6912154107376,0.0013329839342068727,0.0009926380607557152,0.0012454859728218825
2006-03-01,1860.0682433050906,3145.911702605321,2472.7914318719304,0.00042225460188524206,0.0007888964619203405,0.0018631887047503592
2006-04-01,1811.556451626464,3427.002876057237,2600.0610895115547,0.0008690080220814842,0.0003329925675824587,0.0009347664049421403
2006-05-01,1767.6077478778006,3609.164051864738,2774.756999481755,0.0010781659670461182,0.015747424559749812,0.01736765594107749
2006-06-01,1763.4707691454068,4930.95313339486,3896.402539462907,0.04698788816860033,0.20605422848946017,0.12519847618213026
2006-07-01,2401.8324473527314,5814.088182528662,5084.190513540876,0.19120151313781228,0.23940541583810634,0.14424478176226316
2006-08-01,3770.543119050567,6244.384217393982,6360.284044035425,0.12817581622530547,0.4798717396328077,0.3250897534150558
2006-09-01,3020.5749450923495,7066.066925444262,6411.401485802424,0.10348935171408559,0.38536833901913037,0.24012787234309563
2006-10-01,2292.51024969249,7020.156535574278,5465.264885085868,0.006911677820484807,0.14444699365845032,0.0684337917983008
2006-11-01,2117.71413863054,6082.176961938925,4171.123473832562,0.00020924464296822817,0.0015331680022612159,0.0009458874988549281
2006-12-01,2012.951611168483,4893.353494876169,3084.833769185302,0.00027918303474142747,0.0004389457729965703,0.0003493764600395714
2007-01-01,1904.6749080665993,3799.9152852901825,2657.3255453941815,0.0008442532524074601,0.00019404186423452742,0.00017675792008485386
2007-02-01,1835.3802008575472,3128.8173422608743,2373.948677701943,5.871193058152278e-05,0.00018769791465066593,0.0009333317509826246
2007-03-01,1770.1617727319344,2939.9169998409425,2293.1531271201507,0.000395251055528278,0.0004995944993289849,0.00036543189998668125
2007-04-01,1752.805991510139,3134.566662779288,2363.533935628834,0.000378415682494267,0.00019569774128951685,0.0002191128133588743
2007-05-01,1714.402425769796,3216.005298363634,2346.1099697998206,0.0008055500606488455,0.007582863237928161,0.014201903261581756
2007-06-01,1660.9679872800775,3652.45087765229,3005.7605916927932,0.005109125630058269,0.11105920805165743,0.10118014100767524
2007-07-01,1736.313007954968,4689.588498994981,4410.419983375994,0.046015508704978454,0.2893678225343377,0.2265189733157886
2007-08-01,3247.487339062873,5700.931118075827,5917.552705690827,0.2138077072005707,0.45645493827396555,0.3223305124973168
2007-09-01,3214.113281064794,7326.752608291296,6768.14601394133,0.09932563504158243,0.421651230646873,0.24429740262667615
2007-10-01,2426.5168874945675,7161.68491908868,5639.020074983033,0.013119834862137286,0.06538176348898138,0.04051892854737684
2007-11-01,2178.1201077512324,6218.7782596768075,4312.260913340224,0.003947703968735822,0.014181176067442161,0.02059706096808004
2007-12-01,2097.7314899000894,5275.680577262046,3382.3932408754436,0.00011021690608401111,0.0004775607949060183,0.00023237061718945243
