system:index,Date,Name,precip,.geo
0_15_5,06_01_2015,Kaffrine,10.842916230657448,
0_15_6,07_01_2015,Kaffrine,111.70972141483473,
0_15_7,08_01_2015,Kaffrine,183.38747802034268,
0_15_8,09_01_2015,Kaffrine,233.77820142550064,
0_15_9,10_01_2015,Kaffrine,53.71843979531194,
0_15_10,11_01_2015,Kaffrine,1.2473021184140651,
0_15_11,12_01_2015,Kaffrine,1.192423623791625,
0_16_0,01_01_2016,Kaffrine,0.7219647631223542,
0_16_1,02_01_2016,Kaffrine,0.20546315143904267,
0_16_2,03_01_2016,Kaffrine,0.00588825767464902,
0_16_3,04_01_2016,Kaffrine,0.01781269963397473,
0_16_4,05_01_2016,Kaffrine,0.6982989136014934,
0_16_5,06_01_2016,Kaffrine,24.65287679257274,
0_16_6,07_01_2016,Kaffrine,162.2604551090053,
0_16_7,08_01_2016,Kaffrine,126.67569639913842,
0_16_8,09_01_2016,Kaffrine,245.73508694903683,
0_16_9,10_01_2016,Kaffrine,13.914530449576025,
0_16_10,11_01_2016,Kaffrine,0.9807173923136208,
0_16_11,12_01_2016,Kaffrine,0.8751576359391527,
0_17_0,01_01_2017,Kaffrine,0.6547582587068232,
0_17_1,02_01_2017,Kaffrine,0.13863714891612178,
0_17_2,03_01_2017,Kaffrine,0.001036442581050932,
0_17_3,04_01_2017,Kaffrine,0.1344140577703331,
0_17_4,05_01_2017,Kaffrine,2.609846189629565,
0_17_5,06_01_2017,Kaffrine,88.49479753855493,
0_17_6,07_01_2017,Kaffrine,159.18445233055508,
0_17_7,08_01_2017,Kaffrine,242.0620967664952,
0_17_8,09_01_2017,Kaffrine,73.6251405012607,
0_17_9,10_01_2017,Kaffrine,35.34314453643859,
0_17_10,11_01_2017,Kaffrine,0.7931969371963065,
0_17_11,12_01_2017,Kaffrine,0.5416327973734875,
0_18_0,01_01_2018,Kaffrine,0.3935519052806567,
0_18_1,02_01_2018,Kaffrine,0.05447389662721075,
0_18_2,03_01_2018,Kaffrine,1.2281743575041476E-4,
0_18_3,04_01_2018,Kaffrine,0.0030461304319824656,
0_18_4,05_01_2018,Kaffrine,0.0,
0_18_5,06_01_2018,Kaffrine,31.8452046902939,
0_18_6,07_01_2018,Kaffrine,89.066675532856,
0_18_7,08_01_2018,Kaffrine,176.7954843969939,
0_18_8,09_01_2018,Kaffrine,191.6993783624316,
0_18_9,10_01_2018,Kaffrine,33.51900502226185,
0_18_10,11_01_2018,Kaffrine,0.9787552072855009,
0_18_11,12_01_2018,Kaffrine,0.676446606161033,
0_19_0,01_01_2019,Kaffrine,0.6226184873470805,
0_19_1,02_01_2019,Kaffrine,0.16830398353847256,
0_19_2,03_01_2019,Kaffrine,1.722394958346272E-4,
0_19_3,04_01_2019,Kaffrine,0.13477920838698298,
0_19_4,05_01_2019,Kaffrine,0.0,
0_19_5,06_01_2019,Kaffrine,36.862089822723455,
0_19_6,07_01_2019,Kaffrine,70.27767542326974,
0_19_7,08_01_2019,Kaffrine,187.30975597040532,
0_19_8,09_01_2019,Kaffrine,146.06996527702807,
0_19_9,10_01_2019,Kaffrine,49.9390050753624,
0_19_10,11_01_2019,Kaffrine,0.23262599853986937,
0_19_11,12_01_2019,Kaffrine,0.6803893074111148,
0_20_0,01_01_2020,Kaffrine,0.4558703132040211,
0_20_1,02_01_2020,Kaffrine,0.08510055269517126,
